area	 isopleth	 sex	 territory	 area.log	 Occupancy
1.909561683	50	 female	 A101	0.64687373	5
8.307544834	50	 male	 A101	2.117164118	5
11.55019507	50	 female	 A128	2.446702326	3
10.65591407	50	 male	 A128	2.366115049	3
0.235999258	50	 female	 A12	-1.443926618	14
0.333549574	50	 male	 A12	-1.097963776	14
3.689100002	50	 female	 A18	1.305382526	8
4.496382195	50	 male	 A18	1.503273117	8
0.619820174	50	 female	 A42	-0.478325886	4
5.675110697	50	 male	 A42	1.736090069	4
4.511890467	50	 female	 A47	1.506716238	13
0.996140626	50	 female	 A68	-0.003866841	7
4.444847772	50	 male	 A68	1.491745621	7
6.404779714	50	 female	 A98	1.857044542	2
6.474111254	50	 male	 A98	1.86781134	2
1.854271745	50	 male	 B40	0.617492029	9
78.85615687	50	 female	 B42	4.367625394	4
42.46917814	50	 male	 B42	3.748778593	4
16.74893278	50	 female	 B9	2.818334542	5
4.74514799	50	 male	 B9	1.55712262	5
3.673804123	50	 female	 D7	1.301227671	13
3.04289522	50	 male	 D7	1.112809437	13
15.35287593	95	 female	 A101	2.731302814	5
43.87787764	95	 male	 A101	3.781410267	5
76.65129459	95	 female	 A128	4.339266495	3
47.63820406	95	 male	 A128	3.863635046	3
1.906147853	95	 female	 A12	0.645084374	14
2.001297447	95	 male	 A12	0.693795694	14
18.94068122	95	 female	 A18	2.941312054	8
21.77195589	95	 male	 A18	3.080622715	8
4.820823572	95	 female	 A42	1.572944779	4
29.79433116	95	 male	 A42	3.394318146	4
19.56483477	95	 female	 A47	2.97373381	13
4.443103426	95	 female	 A68	1.491353102	7
20.27649658	95	 male	 A68	3.009462411	7
32.74791714	95	 female	 A98	3.488839361	2
43.04409104	95	 male	 A98	3.762224963	2
8.17959125	95	 male	 B40	2.10164218	9
327.4453831	95	 female	 B42	5.791321272	4
269.8041905	95	 male	 B42	5.597696476	4
84.13417399	95	 female	 B9	4.432412834	5
35.54384438	95	 male	 B9	3.570766987	5
19.54988623	95	 female	 D7	2.972969467	13
14.89969383	95	 male	 D7	2.701340665	13
